   0.00000000       1.00000000       1.04999995    
   9.99999940E-02  0.990000010       1.02199996    
  0.188999981       1.00707805      0.995736599    
  0.270807773       1.04804528      0.971086979    
  0.348531514       1.11076117      0.948029518    
  0.424754471       1.19393826      0.926620066    
  0.501672864       1.29699421      0.906981528    
  0.581205010       1.41994262      0.889302015    
  0.665078759       1.56331193      0.873840094    
  0.754902065       1.72808909      0.860934973    
  0.852220774       1.91568160      0.851022065    
  0.958566844       2.12789392      0.844653964    
   1.07549953       2.36691713      0.842527151    
   1.20464134       2.63532639      0.845515966    
   1.34770989       2.93608713      0.854715109    
   1.50654757       3.27256584      0.871492624    
   1.68314934       3.64854407      0.897555590    
   1.87968874       4.06823301      0.935031235    
   2.09854317       4.53628778      0.986567199    
   2.34231758       5.05781364       1.05545473    
   2.61386728       5.63836241       1.14577937    
   2.91631675       6.28391266       1.26260459    
   3.25307631       7.00082064       1.41219389    
   3.62785077       7.79573393       1.60227740    
   4.04463911       8.67544651       1.84236765    
   4.50771999       9.64667416       2.14412832    
   5.02161551       10.7157173       2.52179670    
   5.59102583       11.8879776       2.99265099    
   6.22072077       13.1672649       3.57750678    
   6.91537523       14.5548477       4.30120564    
   7.67932224       16.0481606       5.19302940    
   8.51620579       17.6390991       6.28693867    
   9.42849541       19.3118362       7.62146902    
   10.4168291       21.0401077       9.23904514    
   11.4791565       22.7840042       11.1843824    
   12.6096411       24.4864559       13.5015440    
   13.7973223       26.0697937       16.2291565    
   15.0245695       27.4331570       19.3933125    
   16.2654285       28.4519424       22.9978714    
   17.4840794       28.9810410       27.0124245    
   18.6337757       28.8638992       31.3591614    
   19.6567879       27.9493217       35.9013519    
   20.4860420       26.1166763       40.4379196    
   21.0491047       23.3074722       44.7098465    
   21.2749405       19.5571251       48.4235992    
   21.1031590       15.0164452       51.2930679    
   20.4944878       9.95070744       53.0941963    
   19.4401093       4.70827341       53.7176971    
   17.9669266     -0.338357449       53.2005196    
   16.1363983      -4.86273289       51.7210464    
   14.0364857      -8.64182854       49.5571480    
   11.7686539      -11.5812759       47.0226135    
   9.43366051      -13.7041683       44.4057159    
   7.11987782      -15.1147861       41.9287605    
   4.89641142      -15.9553490       39.7345047    
   2.81123543      -16.3703651       37.8936768    
  0.893075466      -16.4847965       36.4229698    
 -0.844711661      -16.3951721       35.3044701    
  -2.39975762      -16.1695194       34.5015106    
  -3.77673388      -15.8518038       33.9695015    
  -4.98424053      -15.4678335       33.6623268    
  -6.03259993      -15.0309315       33.5356178    
  -6.93243313      -14.5466805       33.5480919    
  -7.69385767      -14.0165958       33.6619148    
  -8.32613182      -13.4408102       33.8426819    
  -8.83759975      -12.8199329       34.0593109    
  -9.23583317      -12.1562357       34.2840385    
  -9.52787304      -11.4542904       34.4925270    
  -9.72051430      -10.7211475       34.6640778    
  -9.82057762      -9.96615314       34.7818527    
  -9.83513546      -9.20047474       34.8330688    
  -9.77166939      -8.43642807       34.8090668    
  -9.63814545      -7.68670416       34.7052040    
  -9.44300175      -6.96357965       34.5205879    
  -9.19505978      -6.27820444       34.2576103    
  -8.90337467      -5.64003134       33.9213600    
  -8.57704067      -5.05643034       33.5189438    
  -8.22497940      -4.53250408       33.0587959    
  -7.85573196      -4.07109404       32.5500259    
  -7.47726822      -3.67294526       32.0018387    
  -7.09683609      -3.33698750       31.4230919    
  -6.72085142      -3.06068635       30.8219643    
  -6.35483503      -2.84041953       30.2057495    
  -6.00339365      -2.67184353       29.5807667    
  -5.67023849      -2.55022550       28.9523468    
  -5.35823727      -2.47072291       28.3248882    
  -5.06948566      -2.42860746       27.7019444    
  -4.80539799      -2.41943121       27.0863438    
  -4.56680155      -2.43914175       26.4803047    
  -4.35403538      -2.48415184       25.8855534    
  -4.16704702      -2.55137396       25.3034325    
  -4.00547981      -2.63822746       24.7349911    
  -3.86875463      -2.74262452       24.1810646    
  -3.75614166      -2.86294341       23.6423416    
  -3.66682196      -2.99799371       23.1194153    
  -3.59993911      -3.14697599       22.6128292    
  -3.55464292      -3.30944109       22.1231098    
  -3.53012276      -3.48524904       21.6507988    
  -3.52563548      -3.67453122       21.1964779    
  -3.54052496      -3.87765336       20.7607899    
  -3.57423782      -4.09518290       20.3444576    
  -3.62633228      -4.32785845       19.9483109    
  -3.69648480      -4.57656097       19.5732975    
  -3.78449249      -4.84228706       19.2205143    
  -3.89027190      -5.12612295       18.8912239    
  -4.01385689      -5.42921782       18.5868778    
  -4.15539312      -5.75275469       18.3091488    
  -4.31512928      -6.09791994       18.0599537    
  -4.49340820      -6.46586657       17.8414879    
  -4.69065380      -6.85767126       17.6562519    
  -4.90735531      -7.27428389       17.5070877    
  -5.14404821      -7.71646547       17.3972073    
  -5.40128994      -8.18471336       17.3302212    
  -5.67963219      -8.67917156       17.3101616    
  -5.97958612      -9.19952297       17.3415031    
  -6.30157995      -9.74486160       17.4291573    
  -6.64590788      -10.3135433       17.5784607    
  -7.01267147      -10.9030142       17.7951298    
  -7.40170574      -11.5096178       18.0851860    
  -7.81249714      -12.1283875       18.4548225    
  -8.24408627      -12.7528200       18.9102230    
  -8.69495964      -13.3746605       19.4573040    
  -9.16292953      -13.9836979       20.1013641    
  -9.64500618      -14.5676069       20.8466434    
  -10.1372662      -15.1118727       21.6957798    
  -10.6347265      -15.5998297       22.6491566    
  -11.1312370      -16.0128784       23.7041779    
  -11.6194010      -16.3309269       24.8544979    
  -12.0905533      -16.5331059       26.0892677    
  -12.5348082      -16.5987930       27.3924980    
  -12.9412069      -16.5089550       28.7426586    
